Director,Duration,Actor,Movie,Users rated,Language,Year,Rating
Christopher Nolan,169,Matthew McConaughey,Interstellar?ÿ,2725,English,2014,8.6
Christopher Nolan,148,Leonardo DiCaprio,Inception?ÿ,2803,English,2010,8.8
Hideaki Anno,120,Mark Chinnery,Godzilla Resurgence?ÿ,13,Japanese,2016,8.2
Peter Jackson,182,Aidan Turner,The Hobbit: An Unexpected Journey?ÿ,1367,English,2012,7.9
Rob Cohen,106,Paul Walker,The Fast and the Furious?ÿ,988,English,2001,6.7
David Fincher,166,Brad Pitt,The Curious Case of Benjamin Button?ÿ,822,English,2008,7.8
Matthew Vaughn,132,Jennifer Lawrence,X-Men: First Class?ÿ,698,English,2011,7.8
Francis Lawrence,137,Jennifer Lawrence,The Hunger Games: Mockingjay - Part 2?ÿ,383,English,2015,6.6
Jon Turteltaub,109,Nicolas Cage,The Sorcerer's Apprentice?ÿ,238,English,2010,6.1
Wolfgang Petersen,98,Jimmy Bennett,Poseidon?ÿ,629,English,2006,5.6
James Bobin,113,Johnny Depp,Alice Through the Looking Glass?ÿ,131,English,2016,6.4
Chris Miller,93,Justin Timberlake,Shrek the Third?ÿ,326,English,2007,6.1
Duncan Jones,123,Dominic Cooper,Warcraft?ÿ,781,English,2016,7.3
Alan Taylor,126,J.K. Simmons,Terminator Genisys?ÿ,867,English,2015,6.6
Michael Apted,113,Bruce Spence,The Chronicles of Narnia: The Voyage of the Dawn Treader?ÿ,227,English,2010,6.3
Michael Bay,184,Jennifer Garner,Pearl Harbor?ÿ,1999,English,2001,6.1
Michael Bay,144,Zack Ward,Transformers?ÿ,1782,English,2007,7.1
Oliver Stone,206,Anthony Hopkins,Alexander?ÿ,1390,English,2004,5.5
David Yates,138,Robert Pattinson,Harry Potter and the Order of the Phoenix?ÿ,1108,English,2007,7.5
Mike Newell,157,Robert Pattinson,Harry Potter and the Goblet of Fire?ÿ,1896,English,2005,7.6
Peter Berg,102,Will Smith,Hancock?ÿ,590,English,2008,6.4
Francis Lawrence,104,Will Smith,I Am Legend?ÿ,1413,English,2007,7.2
Tim Burton,115,Johnny Depp,Charlie and the Chocolate Factory?ÿ,1361,English,2005,6.7
Brad Bird,111,Janeane Garofalo,Ratatouille?ÿ,626,English,2007,8
Christopher Nolan,128,Christian Bale,Batman Begins?ÿ,2685,English,2005,8.3
Eric Darnell,89,Bernie Mac,Madagascar: Escape 2 Africa?ÿ,119,English,2008,6.7
Shawn Levy,105,Robin Williams,Night at the Museum: Battle of the Smithsonian?ÿ,209,English,2009,5.9
Gavin Hood,119,Hugh Jackman,X-Men Origins: Wolverine?ÿ,641,English,2009,6.7
Lana Wachowski,129,Essie Davis,The Matrix Revolutions?ÿ,2121,English,2003,6.7
Chris Buck,102,Josh Gad,Frozen?ÿ,904,English,2013,7.6
Lana Wachowski,138,Steve Bastoni,The Matrix Reloaded?ÿ,2789,English,2003,7.2
Alan Taylor,112,Chris Hemsworth,Thor: The Dark World?ÿ,532,English,2013,7.1
George Miller,120,Tom Hardy,Mad Max: Fury Road?ÿ,1588,English,2015,8.1
Ron Howard,146,Tom Hanks,Angels & Demons?ÿ,435,English,2009,6.7
Kenneth Branagh,115,Chris Hemsworth,Thor?ÿ,738,English,2011,7
Byron Howard,96,Chlo?® Grace Moretz,Bolt?ÿ,178,English,2008,6.9
Hoyt Yeatman,88,Kelli Garner,G-Force?ÿ,90,English,2009,5.1
Jonathan Liebesman,99,Liam Neeson,Wrath of the Titans?ÿ,253,English,2012,5.8
Tim Burton,113,Johnny Depp,Dark Shadows?ÿ,479,English,2012,6.2
Christopher McQuarrie,131,Tom Cruise,Mission: Impossible - Rogue Nation?ÿ,440,English,2015,7.4
Joe Johnston,119,Anthony Hopkins,The Wolfman?ÿ,432,English,2010,5.8
David Yates,110,Christoph Waltz,The Legend of Tarzan?ÿ,239,English,2016,6.6
Steve Hickner,91,Matthew Broderick,Bee Movie?ÿ,206,English,2007,6.2
Jennifer Yuh Nelson,90,Angelina Jolie Pitt,Kung Fu Panda 2?ÿ,209,English,2011,7.3
M. Night Shyamalan,103,Seychelle Gabriel,The Last Airbender?ÿ,1382,English,2010,4.2
J.J. Abrams,124,Philip Seymour Hoffman,Mission: Impossible III?ÿ,871,English,2006,6.9
Roland Emmerich,131,Channing Tatum,White House Down?ÿ,434,English,2013,6.4
Simon Wells,88,Elisabeth Harnois,Mars Needs Moms?ÿ,112,English,2011,5.4
David Bowers,85,Hugh Jackman,Flushed Away?ÿ,122,English,2006,6.7
